ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,didakta_combined
3,ἱστὸν,ἱστός,n-s---ma-,AccObj,5.0,OBJ_CO,5.254,AccObj,,,,AccObj
4,ποίει,ποιέω,v3siia---,ImpfDesc,2.0,PRED_CO,5.254,ImpfDesc,,,,ImpfDesc
5,καὶ,καί,c--------,conj indeclform,4.0,COORD,5.254,,,,,
6,ἐπίκριον,ἐπίκριον,n-s---na-,AccObj,5.0,OBJ_CO,5.254,AccObj,,,,AccObj
7,ἄρμενον,ἀραρίσκω,v-sapmna-,"AccObj, PartAttr",6.0,ATR,5.254,AccObj,PartAttr,,,AccObj|PartAttr
8,αὐτῷ,αὐτός,a-s---md-,DatLoc (Prep3),7.0,ADV,5.254,DatLoc (Prep3),,,,DatLoc (Prep3)
9,·,·,u--------,,0.0,AuxK,5.254,,,,,
1,πρὸς,πρός,r--------,tmesis,5.0,AuxZ,5.255,,,,,
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.255,,,,,
3,ἄρα,ἄρα,g--------,particle indeclform,5.0,AuxY,5.255,,,,,
4,πηδάλιον,πηδάλιον,n-s---na-,AccObj,5.0,OBJ,5.255,AccObj,,,,AccObj
5,ποιήσατο,ποιέω,v3saim---,"AorComp, MidIndir",2.0,PRED_CO,5.255,AorComp,MidIndir,,,AorComp|MidIndir
6,",",",",u--------,,7.0,AuxX,5.255,,,,,
7,ὄφρ',ὄφρα,c--------,conj indeclform,5.0,AuxC,5.255,,,,,
8,ἰθύνοι,ἰθύνω,v3spoa---,OptPoten,7.0,ADV,5.255,OptPoten,,,,OptPoten
9,.,.,u--------,,0.0,AuxK,5.255,,,,,
1,φράξε,φράσσω,v3saia---,AorComp,2.0,PRED_CO,5.256,AorComp,,,,AorComp
2,δέ,δέ,g--------,particle indeclform,0.0,COORD,5.256,,,,,
3,μιν,μιν,p-s---na-,AccObj,1.0,OBJ,5.256,AccObj,,,,AccObj
4,ῥίπεσσι,ῥίψ,n-p---fd-,DatInstr,1.0,ADV,5.256,DatInstr,,,,DatInstr
5,διαμπερὲς,διαμπερές,d--------,adv indeclform,1.0,ADV,5.256,,,,,
6,οἰσυΐνῃσι,οἰσύινος,a-p---fd-,DatInstr,4.0,ATR,5.256,DatInstr,,,,DatInstr
7,κύματος,κῦμα,n-s---ng-,GenObj.3,8.0,ATR,5.257,GenObj.3,,,,GenObj.3
8,εἶλαρ,εἶλαρ,n-s---na-,NomPred,9.0,PNOM,5.257,NomPred,,,,NomPred
9,ἔμεν,εἰμί,v--pna---,InfDyn.,1.0,ADV,5.257,InfDyn.,,,,InfDyn.
10,·,·,u--------,,0.0,AuxK,5.257,,,,,
1,πολλὴν,πολύς,a-s---fa-,AccObj,4.0,ATR,5.257,AccObj,,,,AccObj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.257,,,,,
3,ἐπεχεύατο,ἐπιχέω,v3saim---,"AorComp, MidIndir",2.0,PRED_CO,5.257,AorComp,MidIndir,,,AorComp|MidIndir
4,ὕλην,ὕλη,n-s---fa-,AccObj,3.0,OBJ,5.257,AccObj,,,,AccObj
5,.,.,u--------,,0.0,AuxK,5.257,,,,,
1,τόφρα,τόφρα,d--------,adv incedlform,4.0,ADV,5.258,,,,,
2,δὲ,δέ,g--------,particle indeclform,0.0,COORD,5.258,,,,,
3,φάρε',φᾶρος,n-p---na-,AccObj,4.0,OBJ,5.258,AccObj,,,,AccObj
4,ἔνεικε,φέρω,v3saia---,AorIngr,2.0,PRED_CO,5.258,AorIngr,,,,AorIngr
5,Καλυψώ,Καλυψώ,n-s---fn-,NomSubj,6.0,SBJ_AP,5.258,NomSubj,,,,NomSubj
6,",",",",u--------,,4.0,APOS,5.258,,,,,
7,δῖα,δῖος,a-s---fn-,NomInd,6.0,SBJ_AP,5.258,NomInd,,,,NomInd
8,θεάων,θεά,n-p---fg-,GenPart,7.0,ATR,5.258,GenPart,,,,GenPart
9,",",",",u--------,,11.0,AuxX,5.258,,,,,
10,ἱστία,ἱστίον,n-p---na-,AccObj,11.0,OBJ,5.259,AccObj,,,,AccObj
11,ποιήσασθαι,ποιέω,v--anm---,InfDyn.,4.0,ADV,5.259,InfDyn.,,,,InfDyn.
12,·,·,u--------,,0.0,AuxK,5.259,,,,,
1,ὁ,ὁ,p-s---mn-,"NomSubj, Pron4",4.0,SBJ,5.259,NomSubj,,,,NomSubj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.259,,,,,
3,εὖ,εὖ,d--------,adv indeclform,4.0,ADV,5.259,,,,,
4,τεχνήσατο,τεχνάομαι,v3saie---,AorComp,2.0,PRED_CO,5.259,AorComp,,,,AorComp
5,καὶ,καί,d--------,conj indeclform,6.0,AuxZ,5.259,,,,,
6,τά,ὁ,p-p---na-,"AccObj, Pron8",4.0,OBJ,5.259,AccObj,,,,AccObj
7,.,.,u--------,,0.0,AuxK,5.259,,,,,
1,ἐν,ἐν,r--------,tmesis,9.0,AuxZ,5.26,,,,,
2,δ',δέ,g--------,particle indeclform,14.0,AuxY,5.26,,,,,
3,ὑπέρας,ὑπέρα,n-p---fa-,AccObj,8.0,OBJ_CO,5.26,AccObj,,,,AccObj
4,τε,τε,g--------,particle indeclform,8.0,AuxY,5.26,,,,,
5,κάλους,κάλως,n-p---ma-,AccObj,8.0,OBJ_CO,5.26,AccObj,,,,AccObj
6,τε,τε,g--------,particle indeclform,8.0,AuxY,5.26,,,,,
7,πόδας,πούς,n-p---ma-,AccObj,8.0,OBJ_CO,5.26,AccObj,,,,AccObj
8,τ',τε,g--------,particle indeclform,9.0,COORD,5.26,,,,,
9,ἐνέδησεν,ἐνδέω,v3saia---,AorComp,14.0,PRED_CO,5.26,AorComp,,,,AorComp
10,ἐν,ἐν,r--------,Prep3,9.0,AuxP,5.26,,,,,
11,αὐτῇ,αὐτός,a-s---fd-,DatLoc (Prep3),10.0,ADV,5.26,DatLoc (Prep3),,,,DatLoc (Prep3)
12,",",",",u--------,,14.0,AuxX,5.26,,,,,
13,μοχλοῖσιν,μοχλός,n-p---md-,DatInstr,18.0,ADV,5.261,DatInstr,,,,DatInstr
14,δ',δέ,g--------,particle indeclform,0.0,COORD,5.261,,,,,
15,ἄρα,ἄρα,g--------,particle indeclform,18.0,AuxY,5.261,,,,,
16,τήν,ὁ,p-s---fa-,AccObj,18.0,OBJ,5.261,AccObj,,,,AccObj
17,γε,γε,g--------,particle indeclform,16.0,AuxZ,5.261,,,,,
18,κατείρυσεν,κατερύω,v3saia---,AorComp,14.0,PRED_CO,5.261,AorComp,,,,AorComp
19,εἰς,εἰς,r--------,Prep3,18.0,AuxP,5.261,,,,,
20,ἅλα,ἅλς,n-s---fa-,AccDirec.1 (Prep3),19.0,OBJ,5.261,,,,,
21,δῖαν,δῖος,a-s---fa-,AccDirec.1 (Prep3),20.0,ATR,5.261,,,,,
22,.,.,u--------,,0.0,AuxK,5.261,,,,,
1,τέτρατον,τέτρατος,a-s---nn-,NomPred,2.0,ATR,5.262,NomPred,,,,NomPred
2,ἦμαρ,ἦμαρ,n-s---nn-,NomPred,3.0,SBJ,5.262,NomPred,,,,NomPred
3,ἔην,εἰμί,v3siia---,ImpfDesc,5.0,PRED_CO,5.262,ImpfDesc,,,,ImpfDesc
4,",",",",u--------,,5.0,AuxX,5.262,,,,,
5,καὶ,καί,c--------,"conj indeclform [parataxis, Smyth 2169]",0.0,COORD,5.262,,,,,
6,τῷ,ὁ,p-s---nd-,"DatAgent, Pron4",8.0,ADV,5.262,DatAgent,,,,DatAgent
7,τετέλεστο,τελέω,v3slie---,"Pperf, N2- passive meaning",5.0,PRED_CO,5.262,Pperf,,,,Pperf
8,ἅπαντα,ἅπας,a-p---nn-,NomSubj,7.0,SBJ,5.262,NomSubj,,,,NomSubj
9,·,·,u--------,,0.0,AuxK,5.262,,,,,
1,τῷ,ὁ,l-s---md-,"DatTime, ArtSubs",4.0,ATR,5.263,DatTime,ArtSubs,,,DatTime|ArtSubs
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.263,,,,,
3,ἄρα,ἄρα,g--------,particle indeclform,5.0,AuxY,5.263,,,,,
4,πέμπτῳ,πέμπτος,a-s---md-,DatTime,5.0,ADV,5.263,DatTime,,,,DatTime
5,πέμπ',πέμπω,v3siia---,ImpfCons,2.0,PRED_CO,5.263,ImpfCons,,,,ImpfCons
6,ἀπὸ,ἀπό,r--------,Prep5,5.0,AuxP,5.263,,,,,
7,νήσου,νῆσος,n-s---fg-,GenSep (Prep5),6.0,OBJ,5.263,GenSep (Prep5),,,,GenSep (Prep5)
8,δῖα,δῖος,a-s---fn-,NomSubj,9.0,ATR,5.263,NomSubj,,,,NomSubj
9,Καλυψώ,Καλυψώ,n-s---fn-,NomSubj,5.0,SBJ,5.263,NomSubj,,,,NomSubj
10,",",",",u--------,,15.0,AuxX,5.263,,,,,
11,εἵματά,εἷμα,n-p---na-,AccObj,13.0,OBJ,5.264,AccObj,,,,AccObj
12,τ',τε,g--------,particle indeclform,15.0,AuxY,5.264,,,,,
13,ἀμφιέσασα,ἀμφιάζω,v-sapafn-,"NomSubj, PartCirc.7",15.0,ADV_CO,5.264,NomSubj,PartCirc.7,,,NomSubj|PartCirc.7
14,θυώδεα,θυώδης,a-p---na-,AccObj,11.0,ATR,5.264,AccObj,,,,AccObj
15,καὶ,καί,c--------,conj indeclform,5.0,COORD,5.264,,,,,
16,λούσασα,λούω,v-sapafn-,"NomSubj, PartCirc.7 [hysteron proteron, Smyth 3030]",15.0,ADV_CO,5.264,NomSubj,,,,NomSubj
17,.,.,u--------,,0.0,AuxK,5.264,,,,,
1,ἐν,ἐν,r--------,tmesis,5.0,AuxZ,5.265,,,,,
2,δέ,δέ,g--------,particle indeclform,18.0,AuxY,5.265,,,,,
3,οἱ,ἕ,p-s---md-,"DatAdvn, Pron4",18.0,ADV,5.265,DatAdvn,,,,DatAdvn
4,ἀσκὸν,ἀσκός,n-s---ma-,AccObj,18.0,OBJ,5.265,AccObj,,,,AccObj
5,ἔθηκε,τίθημι,v3saia---,AorIngr,18.0,PRED_CO,5.265,AorIngr,,,,AorIngr
6,θεὰ,θεά,n-s---fn-,NomSubj,18.0,SBJ,5.265,NomSubj,,,,NomSubj
7,μέλανος,μέλας,a-s---mg-,GenExpl,8.0,ATR,5.265,GenExpl,,,,GenExpl
8,οἴνοιο,οἶνος,n-s---mg-,GenExpl,4.0,ATR,5.265,GenExpl,,,,GenExpl
9,τὸν,ὁ,l-s---ma-,"AccObj, ArtSubs",4.0,ATR,5.266,AccObj,ArtSubs,,,AccObj|ArtSubs
10,ἕτερον,ἕτερος,a-s---ma-,AccObj,4.0,ATR,5.266,AccObj,,,,AccObj
11,",",",",u--------,,18.0,AuxX,5.266,,,,,
12,ἕτερον,ἕτερος,a-s---ma-,AccObj,23.0,OBJ,5.266,AccObj,,,,AccObj
13,δ',δέ,g--------,particle indeclform,18.0,AuxY,5.266,,,,,
14,ὕδατος,ὕδωρ,n-s---ng-,GenExpl,12.0,ATR,5.266,GenExpl,,,,GenExpl
15,μέγαν,μέγας,a-s---ma-,AccObj,12.0,ATR,5.266,AccObj,,,,AccObj
16,",",",",u--------,,18.0,AuxX,5.266,,,,,
17,ἐν,ἐν,r--------,Prep3,18.0,AuxP,5.266,,,,,
18,δὲ,δέ,g--------,particle indeclform,0.0,COORD,5.266,,,,,
19,καὶ,καί,d--------,conj indeclform,24.0,AuxY,5.266,,,,,
20,ᾖα,ἤια,n-p---na-,AccObj,24.0,OBJ,5.266,AccObj,,,,AccObj
21,κωρύκῳ,κώρυκος,n-s---md-,DatLoc (Prep3),24.0,OBJ,5.267,DatLoc (Prep3),,,,DatLoc (Prep3)
22,·,·,u--------,,0.0,AuxK,5.267,,,,,
1,ἐν,ἐν,r--------,tmesis,5.0,AuxZ,5.267,,,,,
2,δέ,δέ,g--------,particle indeclform,0.0,COORD,5.267,,,,,
3,οἱ,ἕ,p-s---md-,"DatAdvn, Pron4",5.0,ADV,5.267,DatAdvn,,,,DatAdvn
4,ὄψα,ὄψος,n-p---na-,AccObj,5.0,OBJ,5.267,AccObj,,,,AccObj
5,τίθει,τίθημι,v3siia---,ImpfDesc,2.0,PRED_CO,5.267,ImpfDesc,,,,ImpfDesc
6,μενοεικέα,μενοεικής,a-p---na-,AccObj,4.0,ATR,5.267,AccObj,,,,AccObj
7,πολλά,πολύς,a-p---na-,AccObj,4.0,ATR,5.267,AccObj,,,,AccObj
8,·,·,u--------,,0.0,AuxK,5.267,,,,,
1,οὖρον,οὖρος,n-s---ma-,AccObj,3.0,OBJ,5.268,AccObj,,,,AccObj
2,δὲ,δέ,g--------,particle indeclform,0.0,COORD,5.268,,,,,
3,προέηκεν,προίημι,v3saia---,AorComp,2.0,PRED_CO,5.268,AorComp,,,,AorComp
4,ἀπήμονά,ἀπήμων,a-s---ma-,AccObj,7.0,ATR_CO,5.268,AccObj,,,,AccObj
5,τε,τε,g--------,particle indeclform,7.0,AuxY,5.268,,,,,
6,λιαρόν,λιαρός,a-s---ma-,AccObj,7.0,ATR_CO,5.268,AccObj,,,,AccObj
7,τε,τε,g--------,particle indeclform,1.0,COORD,5.268,,,,,
8,.,.,u--------,,0.0,AuxK,5.268,,,,,
1,γηθόσυνος,γηθόσυνος,a-s---mn-,NomSubj,4.0,ADV,5.269,NomSubj,,,,NomSubj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.269,,,,,
3,οὔρῳ,οὖρος,n-s---md-,DatVerb,4.0,ADV,5.269,DatVerb,,,,DatVerb
4,πέτασ',πετάννυμι,v3saia---,Aor,2.0,PRED_CO,5.269,Aor,,,,Aor
5,ἱστία,ἱστίον,n-p---na-,AccObj,4.0,OBJ,5.269,AccObj,,,,AccObj
6,δῖος,δῖος,a-s---mn-,NomSubj,7.0,ATR,5.269,NomSubj,,,,NomSubj
7,Ὀδυσσεύς,Ὀδυσσεύς,n-s---mn-,NomSubj,4.0,SBJ,5.269,NomSubj,,,,NomSubj
8,.,.,u--------,,0.0,AuxK,5.269,,,,,
1,αὐτὰρ,ἀτάρ,g--------,particle indeclform,4.0,AuxY,5.27,,,,,
2,ὁ,ὁ,p-s---mn-,"NomSubj, Pron4",4.0,SBJ,5.27,NomSubj,,,,NomSubj
3,πηδαλίῳ,πηδάλιον,n-s---nd-,DatInstr,4.0,ADV,5.27,DatInstr,,,,DatInstr
4,ἰθύνετο,ἰθύνω,v3siie---,"ImpfCons, MidDir",9.0,PRED_CO,5.27,ImpfCons,MidDir,,,ImpfCons|MidDir
5,τεχνηέντως,τεχνήεις,d--------,adv indeclform,4.0,ADV,5.27,,,,,
6,ἥμενος,ἧμαι,v-srpemn-,"NomSubj, PartCirc.7",4.0,ADV,5.271,NomSubj,PartCirc.7,,,NomSubj|PartCirc.7
7,",",",",u--------,,9.0,AuxX,5.271,,,,,
8,οὐ,οὐ,d--------,adv indeclform,14.0,AuxZ,5.271,,,,,
9,δέ,δέ,g--------,particle indeclform,0.0,COORD,5.271,,,,,
10,οἱ,ἕ,p-s---md-,"DatPos, Pron4",14.0,OBJ,5.271,DatPos,,,,DatPos
11,ὕπνος,ὕπνος,n-s---mn-,NomSubj,14.0,SBJ,5.271,NomSubj,,,,NomSubj
12,ἐπὶ,ἐπί,r--------,Prep3,14.0,AuxP,5.271,,,,,
13,βλεφάροισιν,βλέφαρον,n-p---nd-,DatLoc (Prep3),12.0,OBJ,5.271,DatLoc (Prep3),,,,DatLoc (Prep3)
14,ἔπιπτεν,πίπτω,v3siia---,Impf,9.0,PRED_CO,5.271,Impf,,,,Impf
15,Πληιάδας,Πλειάδες,n-p---fa-,AccObj,23.0,OBJ_CO,5.272,AccObj,,,,AccObj
16,τ',τε,g--------,particle indeclform,23.0,AuxY,5.272,,,,,
17,ἐσορῶντι,εἰσοράω,v-sppamd-,"DatLoc, PartAttr",10.0,ATV,5.272,DatLoc,PartAttr,,,DatLoc|PartAttr
18,καὶ,καί,c--------,conj indeclform,23.0,AuxY,5.272,,,,,
19,ὀψὲ,ὀψέ,d--------,adv indeclform,20.0,ADV,5.272,,,,,
20,δύοντα,δύω,v-sppama-,AccObj,21.0,ATR,5.272,AccObj,,,,AccObj
21,Βοώτην,Βοώτης,n-s---ma-,AccObj,23.0,OBJ_CO,5.272,AccObj,,,,AccObj
22,Ἄρκτον,ἄρκτος,n-s---fa-,AccObj,23.0,OBJ_CO,5.273,AccObj,,,,AccObj
23,θ',τε,g--------,particle indeclform,17.0,COORD,5.273,,,,,
24,",",",",u--------,,29.0,AuxX,5.273,,,,,
25,ἣν,ὅς,p-s---fa-,"AccObj, Pron8",29.0,OBJ,5.273,AccObj,,,,AccObj
26,καὶ,καί,d--------,conj indeclform,27.0,AuxZ,5.273,,,,,
27,ἄμαξαν,ἄμαξα,n-s---fa-,AccObj,29.0,OCOMP,5.273,AccObj,,,,AccObj
28,ἐπίκλησιν,ἐπίκλησις,n-s---fa-,AccAdv,29.0,OBJ,5.273,AccAdv,,,,AccAdv
29,καλέουσιν,καλέω,v3ppia---,PresIter.1.,22.0,ATR,5.273,PresIter.1.,,,,PresIter.1.
30,",",",",u--------,,41.0,AuxX,5.273,,,,,
31,ἥ,ὅς,p-s---fn-,"NomSubj, Pron8",41.0,SBJ,5.274,NomSubj,,,,NomSubj
32,τ',τε,g--------,particle indeclform,31.0,AuxZ,5.274,,,,,
33,αὐτοῦ,αὐτοῦ,d--------,adv indeclform,34.0,ADV,5.274,,,,,
34,στρέφεται,στρέφω,v3spie---,"PresIter.1., MidMotion",41.0,ATR_CO,5.274,PresIter.1.,MidMotion,,,PresIter.1.|MidMotion
35,καί,καί,c--------,conj indeclform,41.0,AuxY,5.274,,,,,
36,τ',τε,g--------,particle indeclform,38.0,AuxY,5.274,,,,,
37,Ὠρίωνα,Ὠρίων,n-s---ma-,AccObj,38.0,OBJ,5.274,AccObj,,,,AccObj
38,δοκεύει,δοκεύω,v3spia---,PresIter.1.,41.0,ATR_CO,5.274,PresIter.1.,,,,PresIter.1.
39,",",",",u--------,,41.0,AuxX,5.274,,,,,
40,οἴη,οἶος,a-s---fn-,NomSubj,43.0,AtvV,5.275,NomSubj,,,,NomSubj
41,δ',δέ,g--------,particle indeclform,22.0,COORD,5.275,,,,,
42,ἄμμορός,ἄμμορος,a-s---fn-,NomPred,43.0,PNOM,5.275,NomPred,,,,NomPred
43,ἐστι,εἰμί,v3spia---,PresIter.1.,41.0,ATR_CO,5.275,PresIter.1.,,,,PresIter.1.
44,λοετρῶν,λουτρόν,n-p---ng-,GenVerb.2,42.0,ATR,5.275,GenVerb.2,,,,GenVerb.2
45,Ὠκεανοῖο,Ὠκεανός,n-s---mg-,GenPos,44.0,ATR,5.275,GenPos,,,,GenPos
46,·,·,u--------,,0.0,AuxK,5.275,,,,,
1,τὴν,ὁ,p-s---fa-,"AccObj, Pron4",15.0,OBJ,5.276,AccObj,,,,AccObj
2,γὰρ,γάρ,g--------,particle indeclform,5.0,AuxY,5.276,,,,,
3,δή,δή,g--------,particle indeclform,5.0,AuxY,5.276,,,,,
4,μιν,μιν,p-s---ma-,AccSubj,11.0,SBJ,5.276,AccSubj,,,,AccSubj
5,ἄνωγε,ἄνωγα,v3siia---,Perf,0.0,PRED,5.276,Perf,,,,Perf
6,Καλυψώ,Καλυψώ,n-s---fn-,NomSubj,7.0,SBJ_AP,5.276,NomSubj,,,,NomSubj
7,",",",",u--------,,5.0,APOS,5.276,,,,,
8,δῖα,δῖος,a-s---fn-,NomInd,7.0,SBJ_AP,5.276,NomInd,,,,NomInd
9,θεάων,θεά,n-p---fg-,GenPart,8.0,ATR,5.276,GenPart,,,,GenPart
10,",",",",u--------,,7.0,AuxX,5.276,,,,,
11,ποντοπορευέμεναι,ποντοπορεύω,v--pna---,InfDyn,5.0,OBJ,5.277,InfDyn,,,,InfDyn
12,ἐπ',ἐπί,r--------,Prep5,15.0,AuxP,5.277,,,,,
13,ἀριστερὰ,ἀριστερός,a-p---na-,AccDirec.1 (Prep5),12.0,OBJ,5.277,,,,,
14,χειρὸς,χείρ,n-s---fg-,GenExpl,13.0,ATR,5.277,GenExpl,,,,GenExpl
15,ἔχοντα,ἔχω,v-sppama-,"NomInd, PartCirc.7",4.0,ATV,5.277,NomInd,PartCirc.7,,,NomInd|PartCirc.7
16,.,.,u--------,,0.0,AuxK,5.277,,,,,
1,ἑπτὰ,ἑπτά,m--------,numeral indeclform,3.0,ATR_CO,5.278,,,,,
2,δὲ,δέ,g--------,particle indeclform,11.0,COORD,5.278,,,,,
3,καὶ,καί,c--------,conj indeclform,7.0,COORD,5.278,,,,,
4,δέκα,δέκα,m--------,numeral indeclform,3.0,ATR_CO,5.278,,,,,
5,μὲν,μέν,g--------,particle indeclform,6.0,AuxY,5.278,,,,,
6,πλέεν,πλέω,v3siia---,Impf,11.0,PRED_CO,5.278,Impf,,,,Impf
7,ἤματα,ἦμαρ,n-p---na-,AccTime,6.0,ADV,5.278,AccTime,,,,AccTime
8,ποντοπορεύων,ποντοπορεύω,v-sppamn-,"NomSubj, PartCirc.1",6.0,ADV,5.278,NomSubj,PartCirc.1,,,NomSubj|PartCirc.1
9,",",",",u--------,,11.0,AuxX,5.278,,,,,
10,ὀκτωκαιδεκάτῃ,ὀκτωκαιδέκατος,a-s---fd-,DatTime,12.0,ADV,5.279,DatTime,,,,DatTime
11,δ',δέ,g--------,particle indeclform,0.0,COORD,5.279,,,,,
12,ἐφάνη,φαίνω,v3saip---,"Aor, Pass",11.0,PRED_CO,5.279,Aor,Pass,,,Aor|Pass
13,ὄρεα,ὄρος,n-p---nn-,AccObj,12.0,SBJ,5.279,AccObj,,,,AccObj
14,σκιόεντα,σκιόεις,a-p---nn-,AccObj,13.0,ATR,5.279,AccObj,,,,AccObj
15,γαίης,γαῖα,n-s---fg-,GenPart,13.0,ATR,5.28,GenPart,,,,GenPart
16,Φαιήκων,Φαίαξ,n-p---mg-,GenPos,15.0,ATR,5.28,GenPos,,,,GenPos
17,",",",",u--------,,21.0,AuxX,5.28,,,,,
18,ὅθι,ὅθι,d--------,adv indeclform,21.0,ADV,5.28,,,,,
19,τ',τε,g--------,particle indeclform,21.0,AuxY,5.28,,,,,
20,ἄγχιστον,ἄγχιστος,a-s---nn-,NomPred,21.0,PNOM,5.28,NomPred,,,,NomPred
21,πέλεν,πέλω,v3siia---,ImpfDesc,12.0,ADV,5.28,ImpfDesc,,,,ImpfDesc
22,αὐτῷ,αὐτός,a-s---md-,"DatVerb, Pron2",20.0,OBJ,5.28,DatVerb,,,,DatVerb
23,·,·,u--------,,0.0,AuxK,5.28,,,,,
1,εἴσατο,εἴδω,v3saim---,"AorGnom, MidIndir",2.0,PRED_CO,5.281,AorGnom,MidIndir,,,AorGnom|MidIndir
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.281,,,,,
3,ὡς,ὡς,d--------,adv indeclform,10.0,ADV,5.281,,,,,
4,ὅτε,ὅτε,c--------,conj indeclform,3.0,AuxC,5.281,,,,,
5,ῥινὸν,ῥινόν,n-s---nn-,NomSubj,11.0,SBJ,5.281,NomSubj,,,,NomSubj
6,ἐν,ἐν,r--------,Prep3,1.0,AuxP,5.281,,,,,
7,ἠεροειδέι,ἠεροειδής,a-s----d-,DatLoc (Prep3),8.0,ATR,5.281,DatLoc (Prep3),,,,DatLoc (Prep3)
8,πόντῳ,πόντος,n-s---md-,DatLoc (Prep3),6.0,ADV,5.281,DatLoc (Prep3),,,,DatLoc (Prep3)
9,.,.,u--------,,0.0,AuxK,5.281,,,,,
1,τὸν,ὁ,p-s---ma-,"AccObj, Pron4",12.0,OBJ,5.282,AccObj,,,,AccObj
2,δ',δέ,g--------,particle indeclform,0.0,COORD,5.282,,,,,
3,ἐξ,ἐκ,r--------,Prep3,5.0,AuxP,5.282,,,,,
4,Αἰθιόπων,Αἰθίοψ,n-p---mg-,GenSep (Prep3),3.0,OBJ,5.282,GenSep (Prep3),,,,GenSep (Prep3)
5,ἀνιὼν,ἄνειμι,v-sppamn-,"NomSubj, PartCirc.7",12.0,ADV,5.282,NomSubj,PartCirc.7,,,NomSubj|PartCirc.7
6,κρείων,κρείων,n-s---mn-,"NomSubj, PartAttr",7.0,ATR,5.282,NomSubj,PartAttr,,,NomSubj|PartAttr
7,ἐνοσίχθων,Ἐνοσίχθων,n-s---mn-,NomSubj,12.0,SBJ,5.282,NomSubj,,,,NomSubj
8,τηλόθεν,τηλόθεν,d--------,adv indeclform,12.0,ADV,5.283,,,,,
9,ἐκ,ἐκ,r--------,Prep3,12.0,AuxP,5.283,,,,,
10,Σολύμων,Σόλυμοι,n-p---mg-,GenPos,11.0,ATR,5.283,GenPos,,,,GenPos
11,ὀρέων,ὄρος,n-p---ng-,GenSep (Prep3),9.0,ADV,5.283,GenSep (Prep3),,,,GenSep (Prep3)
12,ἴδεν,εἶδον,v3saia---,AorIngr,2.0,PRED_CO,5.283,AorIngr,,,,AorIngr
13,·,·,u--------,,0.0,AuxK,5.283,,,,,
1,εἴσατο,εἴδω,v3saim---,"Aor, MidIndir",0.0,PRED,5.283,Aor,MidIndir,,,Aor|MidIndir
2,γάρ,γάρ,g--------,particle indeclform,1.0,AuxY,5.283,,,,,
3,οἱ,ἕ,p-s---md-,DatVerb,1.0,OBJ,5.283,DatVerb,,,,DatVerb
4,πόντον,πόντος,n-s---ma-,AccObj,5.0,OBJ,5.284,AccObj,,,,AccObj
5,ἐπιπλώων,ἐπιπλέω,v-sppamn-,"NomSubj, PartCirc.1",1.0,ADV,5.284,NomSubj,PartCirc.1,,,NomSubj|PartCirc.1
6,.,.,u--------,,0.0,AuxK,5.284,,,,,
1,ὁ,ὁ,p-s---mn-,"NomSubj, Pron4",8.0,SBJ,5.284,NomSubj,,,,NomSubj
2,δ',δέ,g--------,particle indeclform,8.0,COORD,5.284,,,,,
3,ἐχώσατο,χώομαι,v3saim---,"Aor, MidMent",8.0,PRED_CO,5.284,Aor,MidMent,,,Aor|MidMent
4,κηρόθι,κηρόθι,d--------,adv indeclform,3.0,ADV,5.284,,,,,
5,μᾶλλον,μᾶλλον,d--------,adv indeclform,3.0,ADV,5.284,,,,,
6,",",",",u--------,,8.0,AuxX,5.284,,,,,
7,κινήσας,κινέω,v-sapamn-,"NomSubj, PartCirc.7",12.0,ADV,5.285,NomSubj,PartCirc.7,,,NomSubj|PartCirc.7
8,δὲ,δέ,g--------,particle indeclform,0.0,COORD,5.285,,,,,
9,κάρη,κάρα,n-s---na-,AccObj,7.0,OBJ,5.285,AccObj,,,,AccObj
10,προτὶ,πρός,r--------,Prep5,12.0,AuxP,5.285,,,,,
11,ὃν,ἑός,a-s---ma-,"AccDirec.1 (Prep5), Pron3",13.0,ATR,5.285,,,,,
12,μυθήσατο,μυθέομαι,v3saie---,"Aor, MidIndir",8.0,PRED_CO,5.285,Aor,MidIndir,,,Aor|MidIndir
13,θυμόν,θυμός,n-s---ma-,AccDirec.1 (Prep5),10.0,OBJ,5.285,,,,,
14,·,·,u--------,,0.0,AuxK,5.285,,,,,
1,&quot;,&quot;,u--------,,18.0,AuxG,5.286,,,,,
2,ὢ,ὦ,i--------,exclam indeclform,3.0,AuxZ,5.286,,,,,
3,πόποι,πόποι,i--------,exclam indeclform,8.0,ExD,5.286,,,,,
4,",",",",u--------,,3.0,AuxX,5.286,,,,,
5,ἦ,ἦ,d--------,adv indeclform,8.0,AuxY,5.286,,,,,
6,μάλα,μάλα,d--------,adv indeclform,8.0,AuxZ,5.286,,,,,
7,δὴ,δή,g--------,particle indeclform,8.0,AuxY,5.286,,,,,
8,μετεβούλευσαν,μεταβουλεύω,v3paia---,AorIngr,18.0,PRED_CO,5.286,AorIngr,,,,AorIngr
