sentence_subdoc,sentence_id,document_id,ref,greek,lemma,pos,rel,syn,cite,didakta,didakta_tense,didakta_voice,didakta_mood
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,ἀναλκείῃσι,ἀνάλκεια,n-p---fd-,11,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.320,DatVerb,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,δαμέντες,δαμάζω,v-pappmn-,9,ADV,urn:cts:greekLit:tlg0012.tlg001:17.320,NomSubj_MidDir_unknown,NomSubj,MidDir,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,",",",",u--------,14,AuxX,,,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,Ἀργεῖοι,Ἀργεῖος,a-p---mn-,17,SBJ,urn:cts:greekLit:tlg0012.tlg001:17.321,NomSubj,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,δέ,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:17.321,,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,κε,ἄν,g--------,17,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.321,,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,κῦδος,κῦδος,n-s---na-,17,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.321,AccObj,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,ἕλον,αἱρέω,v3paia---,14,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:17.321,Aor_unknown_unknown,Aor,unknown,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,καὶ,καί,d--------,21,AuxZ,urn:cts:greekLit:tlg0012.tlg001:17.321,,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,ὑπὲρ,ὑπέρ,r--------,17,AuxP,urn:cts:greekLit:tlg0012.tlg001:17.321,,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,Διὸς,Ζεύς,n-s---mg-,21,ATR,urn:cts:greekLit:tlg0012.tlg001:17.321,GenPos,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,21,αἶσαν,αἶσα,n-s---fa-,19,ADV,urn:cts:greekLit:tlg0012.tlg001:17.321,AccDirec1,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,22,κάρτεϊ,κάρτος,n-s---nd-,23,ADV_CO,urn:cts:greekLit:tlg0012.tlg001:17.322,DatInstr,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,καὶ,καί,c--------,17,COORD,urn:cts:greekLit:tlg0012.tlg001:17.322,,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,24,σθένεϊ,σθένος,n-s---nd-,23,ADV_CO,urn:cts:greekLit:tlg0012.tlg001:17.322,DatInstr,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,25,σφετέρῳ,σφέτερος,a-s---nd-,24,ATR,urn:cts:greekLit:tlg0012.tlg001:17.322,DatInstr,,,
17.319-17.322,2279850,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,26,·,·,u--------,0,AuxK,,,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἀλλ̓,ἀλλά,d--------,5,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.322,,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,αὐτὸς,αὐτός,a-s---mn-,3,ATV,urn:cts:greekLit:tlg0012.tlg001:17.322,NomSubj,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,Ἀπόλλων,Ἀπόλλων,n-s---mn-,5,SBJ,urn:cts:greekLit:tlg0012.tlg001:17.322,NomSubj,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,Αἰνείαν,Αἰνείας,n-s---ma-,5,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.323,AccObj,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,ὄτρυνε,ὀτρύνω,v3siia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:17.323,ImpfDesc_unknown_unknown,ImpfDesc,unknown,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,δέμας,δέμας,n-s---na-,8,ADV,urn:cts:greekLit:tlg0012.tlg001:17.323,AccResp,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,Περίφαντι,Περίφας,n-s---md-,24,OBJ_AP,urn:cts:greekLit:tlg0012.tlg001:17.323,DatVerb,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,ἐοικὼς,ἔοικα,v-srpamn-,5,ADV,urn:cts:greekLit:tlg0012.tlg001:17.323,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,κήρυκι,κῆρυξ,n-s---md-,24,OBJ_AP,urn:cts:greekLit:tlg0012.tlg001:17.324,DatVerb,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,Ἠπυτίδῃ,Ἠπυτίδης,n-s---md-,7,ATR,urn:cts:greekLit:tlg0012.tlg001:17.324,DatVerb,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,",",",",u--------,18,AuxX,,,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,ὅς,ὅς,p-s---mn-,18,SBJ,urn:cts:greekLit:tlg0012.tlg001:17.324,NomSubj,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,οἱ,ἕ,p-s---md-,15,ATR,urn:cts:greekLit:tlg0012.tlg001:17.324,DatPos,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,παρὰ,παρά,r--------,18,AuxP,urn:cts:greekLit:tlg0012.tlg001:17.324,,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,πατρὶ,πατήρ,n-s---md-,14,ADV,urn:cts:greekLit:tlg0012.tlg001:17.324,DatVerb,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,γέροντι,γέρων,n-s---md-,15,ATR,urn:cts:greekLit:tlg0012.tlg001:17.324,DatVerb,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,κηρύσσων,κηρύσσω,v-sppamn-,18,ADV,urn:cts:greekLit:tlg0012.tlg001:17.325,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,γήρασκε,γηράσκω,v3siia---,24,ATR,urn:cts:greekLit:tlg0012.tlg001:17.325,ImpfDesc_unknown_unknown,ImpfDesc,unknown,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,φίλα,φίλος,a-p---na-,21,ATR,urn:cts:greekLit:tlg0012.tlg001:17.325,AccObj,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,φρεσὶ,φρήν,n-p---fd-,22,ADV,urn:cts:greekLit:tlg0012.tlg001:17.325,DatLoc,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,21,μήδεα,μῆδος,n-p---na-,22,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.325,AccObj,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,22,εἰδώς,εἴδω,v-srpamn-,18,ADV,urn:cts:greekLit:tlg0012.tlg001:17.325,NomSubj_PartAttr_unknown,NomSubj,PartAttr,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,23,·,·,u--------,0,AuxK,,,,,
17.322-17.325,2279851,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,24,[0],,,8,APOS,,,,,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,τῷ,ὁ,p-s---md-,3,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.326,DatVerb,,,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,μιν,μιν,p-s---ma-,4,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.326,AccObj,,,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἐεισάμενος,εἴδομαι,v-sapmmn-,4,ADV,urn:cts:greekLit:tlg0012.tlg001:17.326,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,προσέφη,πρόσφημι,v3siia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:17.326,Impf_unknown_unknown,Impf,unknown,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,Διὸς,Ζεύς,n-s---mg-,6,ATR,urn:cts:greekLit:tlg0012.tlg001:17.326,GenPos,,,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,υἱὸς,υἱός,n-s---mn-,9,SBJ_AP,urn:cts:greekLit:tlg0012.tlg001:17.326,NomInd,,,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,Ἀπόλλων,Ἀπόλλων,n-s---mn-,9,SBJ_AP,urn:cts:greekLit:tlg0012.tlg001:17.326,NomSubj,,,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,·,·,u--------,0,AuxK,,,,,
17.326,2279852,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,[0],,,4,APOS,,,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,Αἰνεία,Αἰνείας,n-s---mv-,7,ExD,urn:cts:greekLit:tlg0012.tlg001:17.327,Voc,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,πῶς,πῶς,d--------,7,ADV,urn:cts:greekLit:tlg0012.tlg001:17.327,,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἂν,ἄν,g--------,7,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.327,,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,καὶ,καί,d--------,5,AuxZ,urn:cts:greekLit:tlg0012.tlg001:17.327,,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,ὑπὲρ,ὑπέρ,r--------,7,AuxP,urn:cts:greekLit:tlg0012.tlg001:17.327,,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,θεὸν,θεός,n-s---ma-,5,ADV,urn:cts:greekLit:tlg0012.tlg001:17.327,AccSubj,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,εἰρύσσαισθε,ἐρύω,v2paom---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:17.327,ImprComm_unknown_unknown,ImprComm,unknown,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,Ἴλιον,Ἴλιος,n-s---fa-,7,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.328,AccObj,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,αἰπεινήν,αἰπεινός,a-s---fa-,8,ATR,urn:cts:greekLit:tlg0012.tlg001:17.328,AccDirec,,,
17.327-17.328,2279853,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,;,;,u--------,0,AuxK,,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ὡς,ὡς,d--------,3,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.328,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,δὴ,δή,g--------,3,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.328,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἴδον,εἶδον,v1saia---,0,PRED,urn:cts:greekLit:tlg0012.tlg001:17.328,AorIngr_unknown_unknown,AorIngr,unknown,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,ἀνέρας,ἀνήρ,n-p---ma-,3,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.328,AccObj,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,ἄλλους,ἄλλος,a-p---ma-,4,ATR,urn:cts:greekLit:tlg0012.tlg001:17.328,AccObj,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,κάρτεΐ,κάρτος,n-s---nd-,14,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:17.329,DatVerb,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,τε,τε,g--------,14,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.329,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,σθένεΐ,σθένος,n-s---nd-,14,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:17.329,DatVerb,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,τε,τε,g--------,14,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.329,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,πεποιθότας,πείθω,v-prpama-,4,ATR,urn:cts:greekLit:tlg0012.tlg001:17.329,NomSubj_PartAttr_unknown,NomSubj,PartAttr,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,ἠνορέῃ,ἠνορέη,n-s---fd-,14,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:17.329,DatVerb,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,τε,τε,g--------,14,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.329,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,πλήθεΐ,πλῆθος,n-s---nd-,14,OBJ_CO,urn:cts:greekLit:tlg0012.tlg001:17.330,DatVerb,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,τε,τε,g--------,10,COORD,urn:cts:greekLit:tlg0012.tlg001:17.330,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,σφετέρῳ,σφέτερος,a-s---nd-,13,ATR,urn:cts:greekLit:tlg0012.tlg001:17.330,DatLoc,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,καὶ,καί,d--------,17,AuxZ,urn:cts:greekLit:tlg0012.tlg001:17.330,,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,ὑπερδέα,ὑπερδεής,a-s---ma-,18,ATR,urn:cts:greekLit:tlg0012.tlg001:17.330,AccObj,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,δῆμον,δῆμος,n-s---ma-,19,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.330,AccObj,,,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,ἔχοντας,ἔχω,v-pppama-,4,ATR,urn:cts:greekLit:tlg0012.tlg001:17.330,PresIter_MidIndir_unknown,PresIter,MidIndir,
17.328-17.330,2279854,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,20,·,·,u--------,0,AuxK,,,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἡμῖν,ἐγώ,p-p---md-,6,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.331,DatVerb,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,δὲ,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:17.331,,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,Ζεὺς,Ζεύς,n-s---mn-,6,SBJ,urn:cts:greekLit:tlg0012.tlg001:17.331,NomSubj,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,μὲν,μέν,g--------,6,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.331,,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,πολὺ,πολύς,a-s---na-,6,ADV,urn:cts:greekLit:tlg0012.tlg001:17.331,AccAdv,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,βούλεται,βούλομαι,v3spie---,2,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:17.331,Pres_Ind_unknown,Pres,Ind,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,ἢ,ἤ,c--------,5,AuxC,urn:cts:greekLit:tlg0012.tlg001:17.331,,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,Δαναοῖσι,Δαναοί,n-p---md-,11,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.331,DatVerb,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,νίκην,νίκη,n-s---fa-,6,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.332,AccObj,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,·,·,u--------,0,AuxK,,,,,
17.331-17.332,2279855,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,[0],,,7,ADV,,,,,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ἀλλ̓,ἀλλά,d--------,6,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.332,,,,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,αὐτοὶ,αὐτός,a-p---mn-,6,AtvV,urn:cts:greekLit:tlg0012.tlg001:17.332,NomSubj,,,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,τρεῖτ̓,τρέω,v2ppia---,6,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:17.332,PresIter_Ind_unknown,PresIter,Ind,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,ἄσπετον,ἄσπετος,a-s---na-,3,ADV,urn:cts:greekLit:tlg0012.tlg001:17.332,AccAdv,,,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,οὐ,οὐ,d--------,7,AuxZ,urn:cts:greekLit:tlg0012.tlg001:17.332,,,,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,δὲ,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:17.332,,,,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,μάχεσθε,μάχομαι,v2ppie---,6,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:17.332,Pres_MidMent_unknown,Pres,MidMent,
17.332,2279856,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,.,.,u--------,0,AuxK,,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,ὣς,ὡς,d--------,2,ADV,urn:cts:greekLit:tlg0012.tlg001:17.333,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,ἔφατ̓,φημί,v3siie---,14,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:17.333,Impf_unknown_unknown,Impf,unknown,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,",",",",u--------,14,AuxX,,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,Αἰνείας,Αἰνείας,n-s---mn-,8,SBJ,urn:cts:greekLit:tlg0012.tlg001:17.333,NomSubj,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,δ̓,δέ,g--------,14,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.333,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,ἑκατηβόλον,ἑκατηβόλος,a-s---ma-,7,ATR,urn:cts:greekLit:tlg0012.tlg001:17.333,AccObj,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,Ἀπόλλωνα,Ἀπόλλων,n-s---ma-,8,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.333,AccObj,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,ἔγνω,γιγνώσκω,v3saia---,14,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:17.334,AorComp_unknown_unknown,AorComp,unknown,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,ἐς,εἰς,r--------,11,AuxZ,urn:cts:greekLit:tlg0012.tlg001:17.334,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,ἄντα,ἄντα,d--------,11,ADV,urn:cts:greekLit:tlg0012.tlg001:17.334,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,ἰδών,εἶδον,v-sapamn-,8,ADV,urn:cts:greekLit:tlg0012.tlg001:17.334,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,",",",",u--------,14,AuxX,,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,μέγα,μέγας,a-s---na-,17,ADV,urn:cts:greekLit:tlg0012.tlg001:17.334,AccAdv,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,δ̓,δέ,g--------,0,COORD,urn:cts:greekLit:tlg0012.tlg001:17.334,,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,Ἕκτορα,Ἕκτωρ,n-s---ma-,16,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.334,AccObj,,,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,εἶπε,εἶπον,v3saia---,14,PRED_CO,urn:cts:greekLit:tlg0012.tlg001:17.334,Aor_unknown_unknown,Aor,unknown,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,βοήσας,βοάω,v-sapamn-,16,ADV,urn:cts:greekLit:tlg0012.tlg001:17.334,NomSubj_PartCirc_unknown,NomSubj,PartCirc,
17.333-17.334,2279857,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,·,·,u--------,0,AuxK,,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,1,Ἕκτόρ,Ἕκτωρ,n-s---mv-,3,ExD_CO,urn:cts:greekLit:tlg0012.tlg001:17.335,Voc,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,2,τ̓,τε,g--------,3,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.335,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,3,ἠδ̓,ἠδέ,c--------,22,COORD,urn:cts:greekLit:tlg0012.tlg001:17.335,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,4,ἄλλοι,ἄλλος,a-p---mv-,6,ATR,urn:cts:greekLit:tlg0012.tlg001:17.335,NomSubj,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,5,Τρώων,Τρώς,n-p---mg-,7,ATR_CO,urn:cts:greekLit:tlg0012.tlg001:17.335,GenSep,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,6,ἀγοὶ,ἀγός,n-p---mv-,3,ExD_CO,urn:cts:greekLit:tlg0012.tlg001:17.335,Voc,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,7,ἠδ̓,ἠδέ,c--------,6,COORD,urn:cts:greekLit:tlg0012.tlg001:17.335,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,8,ἐπικούρων,ἐπίκουρος,n-p---mg-,7,ATR_CO,urn:cts:greekLit:tlg0012.tlg001:17.335,GenSep,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,9,αἰδὼς,αἰδώς,n-s---fn-,22,PNOM,urn:cts:greekLit:tlg0012.tlg001:17.336,NomPred,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,10,μὲν,μέν,g--------,22,AuxY,urn:cts:greekLit:tlg0012.tlg001:17.336,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,11,νῦν,νῦν,d--------,22,ADV,urn:cts:greekLit:tlg0012.tlg001:17.336,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,12,ἥδε,ὅδε,p-s---fn-,23,SBJ_AP,urn:cts:greekLit:tlg0012.tlg001:17.336,NomSubj,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,13,γ̓,γε,g--------,12,AuxZ,urn:cts:greekLit:tlg0012.tlg001:17.336,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,14,ἀρηϊφίλων,ἀρηίφιλος,a-p---mg-,16,ATR,urn:cts:greekLit:tlg0012.tlg001:17.336,GenPos,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,15,ὑπ̓,ὑπό,r--------,18,AuxP,urn:cts:greekLit:tlg0012.tlg001:17.336,,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,16,Ἀχαιῶν,Ἀχαιός,a-p---mg-,15,ADV,urn:cts:greekLit:tlg0012.tlg001:17.336,GenSep,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,17,Ἴλιον,Ἴλιος,n-s---fa-,18,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.337,AccObj,,,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,18,εἰσαναβῆναι,εἰσαναβαίνω,v--ana---,23,SBJ_AP,urn:cts:greekLit:tlg0012.tlg001:17.337,InfDyn_unknown_unknown,InfDyn,unknown,
17.335-17.337,2279858,urn:cts:greekLit:tlg0012.tlg001.perseus-grc1,19,ἀναλκείῃσι,ἀνάλκεια,n-p---fd-,20,OBJ,urn:cts:greekLit:tlg0012.tlg001:17.337,DatVerb,,,
